T_s,omega_rads,P_capture_W,P_opt_W,B55_Nmsrad,F_exc_Nm,eta,masked,duration_s,dt_s,n_settle,n_avg
0.50,12.56637061,1.84245017e-01,2.70440580e-01,1.89570782e+00,2.02519396e+00,6.81277260e-01,false,8.50000000e+01,1.00000000e-02,130,20
0.75,8.37758041,3.07791790e-01,5.41461940e-01,1.94827856e+00,2.90505586e+00,5.68445844e-01,false,1.22500000e+02,1.00000000e-02,130,20
1.00,6.28318531,2.83063093e-01,1.44903204e+00,2.14624194e-01,1.57733277e+00,1.95346332e-01,false,1.60000000e+02,1.00000000e-02,130,20
1.25,5.02654825,2.08484471e-01,1.87587228e+00,3.27667726e-02,7.01234799e-01,1.11140014e-01,false,1.97500000e+02,1.00000000e-02,130,20
1.50,4.18879020,1.60917085e-01,2.39425198e+00,4.86214903e-03,3.05171558e-01,6.72097531e-02,false,2.35000000e+02,1.00000000e-02,130,20
1.75,3.59039160,1.28623122e-01,2.86894023e+00,6.06757782e-04,1.18008536e-01,4.48329737e-02,false,2.72500000e+02,1.00000000e-02,130,20
2.00,3.14159265,1.03378588e-01,,2.57115851e-05,2.49630319e-02,,true,3.10000000e+02,1.00000000e-02,130,20
2.25,2.79252680,7.98515002e-02,,1.56676871e-05,2.38983841e-02,,true,3.47500000e+02,1.00000000e-02,130,20
2.50,2.51327412,5.34916580e-02,,6.93088874e-05,5.00728079e-02,,true,3.85000000e+02,1.00000000e-02,130,20
2.75,2.28479466,1.71353705e-02,4.63342293e+00,1.11478616e-04,6.42823507e-02,3.69820990e-03,false,4.22500000e+02,1.00000000e-02,130,20
3.00,2.09439510,4.41171791e-02,4.79698381e+00,1.34228853e-04,7.17715059e-02,9.19685803e-03,false,4.60000000e+02,1.00000000e-02,130,20
3.25,1.93328779,1.87494026e-01,4.98702960e+00,1.42179138e-04,7.53154205e-02,3.75963331e-02,false,4.97500000e+02,1.00000000e-02,130,20
3.50,1.79519580,7.65090382e-01,5.16891344e+00,1.41738776e-04,7.65577149e-02,1.48017643e-01,false,5.35000000e+02,1.00000000e-02,130,20
3.75,1.67551608,5.43549757e-01,5.18623365e+00,1.40559871e-04,7.63662928e-02,1.04806261e-01,false,5.72500000e+02,1.00000000e-02,130,20
4.00,1.57079633,3.92324087e-01,5.24936486e+00,1.35178136e-04,7.53445077e-02,7.47374393e-02,false,6.10000000e+02,1.00000000e-02,130,20
4.25,1.47839654,2.90368116e-01,5.33372253e+00,1.27707094e-04,7.38189248e-02,5.44400490e-02,false,6.47500000e+02,1.00000000e-02,130,20
4.50,1.39626340,2.15496994e-01,5.43858501e+00,1.19210305e-04,7.20186295e-02,3.96237244e-02,false,6.85000000e+02,1.00000000e-02,130,20
4.75,1.32277585,1.61685134e-01,5.42960626e+00,1.12940857e-04,7.00413811e-02,2.97784271e-02,false,7.22500000e+02,1.00000000e-02,130,20
5.00,1.25663706,1.24423143e-01,5.41518521e+00,1.06809368e-04,6.80230850e-02,2.29767104e-02,false,7.60000000e+02,1.00000000e-02,130,20
5.25,1.19679720,9.81464193e-02,,9.77883049e-05,6.59920518e-02,,true,7.97500000e+02,1.00000000e-02,130,20
5.50,1.14239733,7.88225801e-02,,9.06351341e-05,6.39822747e-02,,true,8.35000000e+02,1.00000000e-02,130,20
5.75,1.09272788,6.42135448e-02,,8.67221302e-05,6.20279383e-02,,true,8.72500000e+02,1.00000000e-02,130,20
6.00,1.04719755,5.30467469e-02,,7.99002208e-05,6.01414377e-02,,true,9.10000000e+02,1.00000000e-02,130,20
6.25,1.00530965,4.44374150e-02,,7.53060222e-05,5.83201812e-02,,true,9.47500000e+02,1.00000000e-02,130,20
6.50,0.96664389,3.77091789e-02,,7.12170479e-05,5.65706686e-02,,true,9.85000000e+02,1.00000000e-02,130,20
6.75,0.93084227,3.23603457e-02,,6.67617263e-05,5.49028781e-02,,true,1.02250000e+03,1.00000000e-02,130,20
7.00,0.89759790,2.80308224e-02,,6.20745961e-05,5.33193341e-02,,true,1.06000000e+03,1.00000000e-02,130,20
