T_s,omega_rads,P_capture_W,P_opt_W,B55_Nmsrad,F_exc_Nm,eta,masked,duration_s,dt_s,period_step_s,n_settle,n_avg
0.50,12.56637061,2.38534404e-01,2.82206595e-01,1.55277675e+00,1.87233296e+00,8.45247448e-01,false,8.50000000e+01,1.00000000e-02,2.50000000e-01,130,20
0.75,8.37758041,3.56309441e-01,5.53510630e-01,1.05222359e+00,2.15854941e+00,6.43726464e-01,false,1.22500000e+02,1.00000000e-02,2.50000000e-01,130,20
1.00,6.28318531,2.85168463e-01,1.46007922e+00,7.68732814e-02,9.47590971e-01,1.95310267e-01,false,1.60000000e+02,1.00000000e-02,2.50000000e-01,130,20
1.25,5.02654825,2.01283642e-01,1.88740429e+00,8.21002949e-03,3.52086863e-01,1.06645748e-01,false,1.97500000e+02,1.00000000e-02,2.50000000e-01,130,20
1.50,4.18879020,1.61270143e-01,2.37579261e+00,4.27783547e-04,9.01698392e-02,6.78805644e-02,false,2.35000000e+02,1.00000000e-02,2.50000000e-01,130,20
1.75,3.59039160,1.44113883e-01,,3.01654391e-05,2.80810811e-02,,true,2.72500000e+02,1.00000000e-02,2.50000000e-01,130,20
2.00,3.14159265,1.41219668e-01,3.58747917e+00,2.37988212e-04,8.26451573e-02,3.93645960e-02,false,3.10000000e+02,1.00000000e-02,2.50000000e-01,130,20
2.25,2.79252680,1.54097562e-01,3.96355551e+00,3.66152766e-04,1.07750334e-01,3.88786183e-02,false,3.47500000e+02,1.00000000e-02,2.50000000e-01,130,20
2.50,2.51327412,2.00498720e-01,4.26844356e+00,4.10959761e-04,1.18462097e-01,4.69723254e-02,false,3.85000000e+02,1.00000000e-02,2.50000000e-01,130,20
2.75,2.28479466,4.41901226e-01,4.51350638e+00,4.11192580e-04,1.21849754e-01,9.79064143e-02,false,4.22500000e+02,1.00000000e-02,2.50000000e-01,130,20
3.00,2.09439510,7.50114806e-02,4.71040903e+00,3.91200784e-04,1.21415508e-01,1.59246214e-02,false,4.60000000e+02,1.00000000e-02,2.50000000e-01,130,20
3.25,1.93328779,9.36394634e-02,4.87120707e+00,3.63085857e-04,1.18950961e-01,1.92230513e-02,false,4.97500000e+02,1.00000000e-02,2.50000000e-01,130,20
3.50,1.79519580,8.84274242e-02,5.00813514e+00,3.32879318e-04,1.15485224e-01,1.76567568e-02,false,5.35000000e+02,1.00000000e-02,2.50000000e-01,130,20
3.75,1.67551608,6.23937102e-02,5.11397201e+00,3.04006108e-04,1.11523225e-01,1.22006358e-02,false,5.72500000e+02,1.00000000e-02,2.50000000e-01,130,20
4.00,1.57079633,4.46603726e-02,5.20011020e+00,2.77323433e-04,1.07409959e-01,8.58835119e-03,false,6.10000000e+02,1.00000000e-02,2.50000000e-01,130,20
4.25,1.47839654,3.32410462e-02,5.27962288e+00,2.52679776e-04,1.03307460e-01,6.29610239e-03,false,6.47500000e+02,1.00000000e-02,2.50000000e-01,130,20
4.50,1.39626340,2.55466831e-02,5.34112683e+00,2.30876814e-04,9.93234050e-02,4.78301376e-03,false,6.85000000e+02,1.00000000e-02,2.50000000e-01,130,20
4.75,1.32277585,2.01845703e-02,5.39169822e+00,2.11351862e-04,9.54796505e-02,3.74363874e-03,false,7.22500000e+02,1.00000000e-02,2.50000000e-01,130,20
5.00,1.25663706,1.63240129e-02,5.44166204e+00,1.93745933e-04,9.18389848e-02,2.99982116e-03,false,7.60000000e+02,1.00000000e-02,2.50000000e-01,130,20
5.25,1.19679720,1.34414285e-02,5.48509355e+00,1.78041265e-04,8.83888225e-02,2.45053769e-03,false,7.97500000e+02,1.00000000e-02,2.50000000e-01,130,20
5.50,1.14239733,1.12183744e-02,5.51631028e+00,1.64211744e-04,8.51278064e-02,2.03367356e-03,false,8.35000000e+02,1.00000000e-02,2.50000000e-01,130,20
5.75,1.09272788,9.47173217e-03,5.55990000e+00,1.51389674e-04,8.20590738e-02,1.70357959e-03,false,8.72500000e+02,1.00000000e-02,2.50000000e-01,130,20
6.00,1.04719755,8.08238917e-03,5.58979424e+00,1.40177172e-04,7.91738113e-02,1.44591890e-03,false,9.10000000e+02,1.00000000e-02,2.50000000e-01,130,20
6.25,1.00530965,6.96350547e-03,5.60440047e+00,1.30370921e-04,7.64539522e-02,1.24250676e-03,false,9.47500000e+02,1.00000000e-02,2.50000000e-01,130,20
6.50,0.96664389,6.05120778e-03,5.62429215e+00,1.21345678e-04,7.38909221e-02,1.07590566e-03,false,9.85000000e+02,1.00000000e-02,2.50000000e-01,130,20
6.75,0.93084227,5.29812257e-03,5.64638499e+00,1.13116136e-04,7.14813125e-02,9.38321170e-04,false,1.02250000e+03,1.00000000e-02,2.50000000e-01,130,20
7.00,0.89759790,4.66900687e-03,5.67115920e+00,1.05600784e-04,6.92172727e-02,8.23289685e-04,false,1.06000000e+03,1.00000000e-02,2.50000000e-01,130,20
