T_s,omega_rads,P_capture_W,P_opt_W,B55_Nmsrad,F_exc_Nm,eta,masked,duration_s,dt_s,n_settle,n_avg
0.50,12.56637061,2.16888526e-01,2.76713480e-01,1.70586934e+00,1.94326949e+00,7.83801808e-01,false,8.50000000e+01,1.00000000e-02,130,20
0.75,8.37758041,3.10895551e-01,5.48950154e-01,1.39187654e+00,2.47236056e+00,5.66345686e-01,false,1.22500000e+02,1.00000000e-02,130,20
1.00,6.28318531,2.66220428e-01,1.46111229e+00,1.18338337e-01,1.17611428e+00,1.82203949e-01,false,1.60000000e+02,1.00000000e-02,130,20
1.25,5.02654825,1.91496016e-01,1.88355075e+00,1.52170948e-02,4.78850043e-01,1.01667563e-01,false,1.97500000e+02,1.00000000e-02,130,20
1.50,4.18879020,1.49566402e-01,2.37811966e+00,1.50667187e-03,1.69305546e-01,6.28927148e-02,false,2.35000000e+02,1.00000000e-02,130,20
1.75,3.59039160,1.24537618e-01,,3.74912563e-05,2.74382718e-02,,true,2.72500000e+02,1.00000000e-02,130,20
2.00,3.14159265,1.06883405e-01,,5.94131436e-05,4.22183528e-02,,true,3.10000000e+02,1.00000000e-02,130,20
2.25,2.79252680,9.03083268e-02,4.04075451e+00,1.76494636e-04,7.55339127e-02,2.23493722e-02,false,3.47500000e+02,1.00000000e-02,130,20
2.50,2.51327412,6.43145246e-02,4.33400113e+00,2.43143513e-04,9.18165239e-02,1.48395265e-02,false,3.85000000e+02,1.00000000e-02,130,20
2.75,2.28479466,1.25552257e-01,4.56765919e+00,2.69076092e-04,9.91583737e-02,2.74872209e-02,false,4.22500000e+02,1.00000000e-02,130,20
3.00,2.09439510,4.76611006e-01,4.75759114e+00,2.71514349e-04,1.01656451e-01,1.00179060e-01,false,4.60000000e+02,1.00000000e-02,130,20
3.25,1.93328779,3.79093193e-01,4.89742476e+00,2.62649306e-04,1.01441814e-01,7.74066395e-02,false,4.97500000e+02,1.00000000e-02,130,20
3.50,1.79519580,2.44105932e-01,5.03325541e+00,2.47144324e-04,9.97573259e-02,4.84986182e-02,false,5.35000000e+02,1.00000000e-02,130,20
3.75,1.67551608,1.56906520e-01,5.14157200e+00,2.29865104e-04,9.72365356e-02,3.05172270e-02,false,5.72500000e+02,1.00000000e-02,130,20
4.00,1.57079633,1.06122603e-01,5.22436057e+00,2.12831997e-04,9.43148385e-02,2.03130319e-02,false,6.10000000e+02,1.00000000e-02,130,20
4.25,1.47839654,7.59095622e-02,5.29057388e+00,1.96569748e-04,9.12125769e-02,1.43480771e-02,false,6.47500000e+02,1.00000000e-02,130,20
4.50,1.39626340,5.63437247e-02,5.36334204e+00,1.80823180e-04,8.80825323e-02,1.05053387e-02,false,6.85000000e+02,1.00000000e-02,130,20
4.75,1.32277585,4.32209716e-02,5.42822112e+00,1.66273679e-04,8.49738922e-02,7.96227175e-03,false,7.22500000e+02,1.00000000e-02,130,20
5.00,1.25663706,3.41831619e-02,5.46419521e+00,1.53727115e-04,8.19753605e-02,6.25584568e-03,false,7.60000000e+02,1.00000000e-02,130,20
5.25,1.19679720,2.76873577e-02,5.50892315e+00,1.41934654e-04,7.90901814e-02,5.02591103e-03,false,7.97500000e+02,1.00000000e-02,130,20
5.50,1.14239733,2.28054044e-02,5.55517717e+00,1.31098579e-04,7.63295922e-02,4.10525240e-03,false,8.35000000e+02,1.00000000e-02,130,20
5.75,1.09272788,1.90371227e-02,5.56943705e+00,1.21937173e-04,7.37086920e-02,3.41814129e-03,false,8.72500000e+02,1.00000000e-02,130,20
6.00,1.04719755,1.60849130e-02,5.56801244e+00,1.13890145e-04,7.12259360e-02,2.88880695e-03,false,9.10000000e+02,1.00000000e-02,130,20
6.25,1.00530965,1.37410825e-02,5.58592247e+00,1.06138840e-04,6.88699256e-02,2.45994865e-03,false,9.47500000e+02,1.00000000e-02,130,20
6.50,0.96664389,1.18546152e-02,,9.89496642e-05,6.66371628e-02,,true,9.85000000e+02,1.00000000e-02,130,20
6.75,0.93084227,1.03155246e-02,,9.19142971e-05,6.45296003e-02,,true,1.02250000e+03,1.00000000e-02,130,20
7.00,0.89759790,9.04244399e-03,,8.51985784e-05,6.25433277e-02,,true,1.06000000e+03,1.00000000e-02,130,20
