T_s,eta_max,controller,flap_angle,masked
0.5,0.813071029,opt_passive,90,false
0.75,0.862307084,opt_passive,0,false
1.0,0.944607459,CC,90,false
1.25,0.941339332,CC,10,false
1.5,0.965045064,CC,0,false
1.75,0.696997511,CC,0,false
2.0,0.398911809,CC,0,false
2.25,0.227222163,CC,0,false
2.5,0.135398033,CC,0,false
2.75,0.117969837,ff+PID,90,false
3.0,0.13140853,ff+PID,45,false
3.25,0.147080099,ff+PID,10,false
3.5,0.146956791,ff+PID,10,false
3.75,0.121569251,ff+PID,10,false
4.0,0.0970761954,ff+PID,10,false
4.25,0.0818036052,ff+PID,0,false
4.5,0.0879872732,ff+PID,0,false
4.75,0.109944179,opt_passive,0,false
5.0,0.122844089,opt_passive,0,false
5.25,0.0846286355,opt_passive,0,false
5.5,0.0554363492,ff+PID,0,false
5.75,0.0459576754,ff+PID,0,false
6.0,0.0379928718,ff+PID,0,false
6.25,0.0315166556,ff+PID,0,false
6.5,0.026394766,ff+PID,0,false
6.75,0.0222792715,ff+PID,0,false
7.0,0.021542109,opt_passive,0,false
